round,time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
1,2022-06-20 22:00:00+09:00,0,22.07,85,1005,1.89,323,0,0,21.1111,11.2654,0,321.883,-21.1057
1,2022-06-20 23:00:00+09:00,0,21.83,86,1005,1.47,350,0,0,21.1111,9.65606,0,335.235,-27.55
1,2022-06-21 00:00:00+09:00,13,21.85,86,1005,1.45,90,0,0,20.5556,9.65606,0,350.468,-31.1982
1,2022-06-21 01:00:00+09:00,10,20.85,94,1003,3.7,92,0,0,20.5556,9.65606,0,6.58502,-31.5164
1,2022-06-21 02:00:00+09:00,15,20.99,93,1003,3.81,76,0,0,19.4444,7.49954,0,22.0807,-28.4523
1,2022-06-21 03:00:00+09:00,27,21.08,93,1003,3.59,73,0.11,0,20,6.96846,0,35.8147,-22.4706
1,2022-06-21 04:00:00+09:00,98,21.18,93,1003,3.65,64,0,0,20,6.43738,0,47.4654,-14.2708
1,2022-06-21 05:00:00+09:00,99,21.37,92,1003,3.94,59,0.11,0,20,7.49954,0,57.2962,-4.50583
1,2022-06-21 06:00:00+09:00,99,21.57,91,1003,4.2,79,0.11,0,20,6.96846,0,65.7864,6.32597
1,2022-06-21 07:00:00+09:00,88,21.8,91,1003,4.21,81,0,0,20.5556,16.0934,1,73.4475,17.8709
1,2022-06-21 08:00:00+09:00,72,22.35,89,1003,4.11,78,0,0,20.5556,16.0934,1,80.8132,29.8746
1,2022-06-21 09:00:00+09:00,64,22.75,87,1003,4.3,76,0,0,20,16.0934,2,88.566,42.1326
1,2022-06-21 10:00:00+09:00,53,22.89,87,1003,3.91,69,0,0,18.3333,16.0934,3,97.9359,54.4234
1,2022-06-21 11:00:00+09:00,56,23.03,86,1003,5.13,82,0,0,17.2222,16.0934,4,112.165,66.3288
1,2022-06-21 12:00:00+09:00,50,23.63,82,1003,4.84,75,0,0,17.7778,16.0934,3,143.217,76.2738
1,2022-06-21 13:00:00+09:00,38,24.56,77,1002,3.67,70,0,0,18.3333,16.0934,2,206.715,77.4958
1,2022-06-21 14:00:00+09:00,34,25.13,75,1002,2.19,56,0,0,18.8889,16.0934,2,243.957,68.4432
1,2022-06-21 15:00:00+09:00,40,24.89,76,1002,1.8,19,0,0,19.4444,16.0934,1,259.929,56.7108
1,2022-06-21 16:00:00+09:00,85,24.19,80,1002,2.57,334,0,0,20,16.0934,1,269.852,44.4484
1,2022-06-21 17:00:00+09:00,83,24.09,81,1002,3.39,341,0,0,20.5556,16.0934,0,277.786,32.1653
1,2022-06-21 18:00:00+09:00,88,24.1,81,1002,3.1,10,0,0,20.5556,16.0934,0,285.164,20.0988
1,2022-06-21 19:00:00+09:00,90,23.93,82,1003,4.45,6,0,0,20.5556,16.0934,0,292.727,8.45063
1,2022-06-21 20:00:00+09:00,92,23.51,84,1004,3.33,26,0,0,20.5556,16.0934,0,301.022,-2.53835
1,2022-06-21 21:00:00+09:00,84,23.21,85,1004,2.8,63,0,0,21.1111,16.0934,0,310.562,-12.5368
1,2022-06-21 22:00:00+09:00,77,22.95,87,1005,2.48,88,0,0,21.1111,8.04672,0,321.84,-21.0761
1,2022-06-21 23:00:00+09:00,75,22.83,88,1005,2.42,83,0,0,21.6667,16.0934,0,335.183,-27.5293
1,2022-06-22 00:00:00+09:00,77,22.68,88,1005,3.09,94,0,0,21.6667,16.0934,0,350.411,-31.189
1,2022-06-22 01:00:00+09:00,69,21.49,90,1006,1.95,293,0,0,20,16.0934,0,6.52656,-31.52
1,2022-06-22 02:00:00+09:00,75,21.39,91,1006,1.97,280,0,0,19.4444,3.21869,0,22.0267,-28.4679
1,2022-06-22 03:00:00+09:00,79,21.32,91,1006,1.65,321,0,0,20,3.21869,0,35.7681,-22.4959
1,2022-06-22 04:00:00+09:00,91,21.13,92,1006,1.14,3,0,0,20,1.60934,0,47.4262,-14.3032
1,2022-06-22 05:00:00+09:00,55,21.16,91,1006,1.78,8,0,0,20,16.0934,0,57.263,-4.5432
1,2022-06-22 06:00:00+09:00,37,21.13,91,1007,1.41,49,0,0,20.5556,16.0934,0,65.7573,6.28524
1,2022-06-22 07:00:00+09:00,38,21.59,89,1007,1.58,47,0,0,20,16.0934,0,73.4208,17.8279
1,2022-06-22 08:00:00+09:00,36,22.15,86,1007,1.13,48,0,0,19.4444,16.0934,1,80.7868,29.8302
1,2022-06-22 09:00:00+09:00,42,22.76,83,1008,0.84,185,0,0,18.8889,16.0934,1,88.5369,42.0876
1,2022-06-22 10:00:00+09:00,94,23.39,80,1008,2.25,233,0,0,18.8889,16.0934,2,97.8978,54.3786
1,2022-06-22 11:00:00+09:00,97,23.79,78,1008,2.95,234,0,0,19.4444,16.0934,2,112.099,66.2866
1,2022-06-22 12:00:00+09:00,85,24.05,77,1008,3.44,234,0,0,20.5556,16.0934,3,143.043,76.2456
1,2022-06-22 13:00:00+09:00,65,24.1,78,1008,3.47,241,0,0,20.5556,16.0934,2,206.5,77.5141
1,2022-06-22 14:00:00+09:00,52,24.08,79,1008,3.88,233,0,0,21.1111,16.0934,2,243.871,68.482
1,2022-06-22 15:00:00+09:00,44,24.12,80,1007,4.56,225,0,0,20.5556,16.0934,1,259.882,56.7536
1,2022-06-22 16:00:00+09:00,0,23.88,82,1008,4.7,233,0,0,20.5556,16.0934,1,269.817,44.4919
1,2022-06-22 17:00:00+09:00,1,23.57,83,1007,3.69,232,0,0,20.5556,16.0934,0,277.755,32.2081
1,2022-06-22 18:00:00+09:00,1,23.42,84,1007,2.61,219,0,0,21.1111,16.0934,0,285.134,20.1403
1,2022-06-22 19:00:00+09:00,1,23.16,86,1007,2.22,200,0,0,21.1111,6.43738,0,292.695,8.48979
1,2022-06-22 20:00:00+09:00,2,22.5,90,1007,2.64,185,0,0,21.1111,6.43738,0,300.987,-2.50258
1,2022-06-22 21:00:00+09:00,15,22.11,92,1007,3.2,184,0,0,21.1111,6.43738,0,310.522,-12.5059
1,2022-06-22 22:00:00+09:00,57,21.86,94,1008,2.25,187,0,0,21.1111,6.43738,0,321.793,-21.0523
1,2022-06-22 23:00:00+09:00,74,21.82,93,1008,2,164,0,0,21.1111,6.43738,0,335.129,-27.515
1,2022-06-23 00:00:00+09:00,82,21.71,94,1007,2.65,146,0,0,20.5556,6.43738,0,350.352,-31.1865
1,2022-06-23 01:00:00+09:00,5,21.68,94,1007,3.24,131,0,0,21.6667,6.43738,0,6.46899,-31.5304
1,2022-06-23 02:00:00+09:00,7,21.58,95,1006,3.5,126,0,0,21.6667,0.402336,0,21.9754,-28.49
1,2022-06-23 03:00:00+09:00,10,21.59,95,1006,3.53,140,0,0,21.6667,0.402336,0,35.7255,-22.527
1,2022-06-23 04:00:00+09:00,35,21.69,95,1006,3.86,146,0,0,22.2222,10.4607,0,47.3918,-14.3408
1,2022-06-23 05:00:00+09:00,57,21.74,95,1005,4.19,143,0,0,22.2222,11.7965,0,57.235,-4.58503
1,2022-06-23 06:00:00+09:00,60,21.86,95,1006,4.72,145,0,0,22.2222,9.65606,0,65.7339,6.24062
1,2022-06-23 07:00:00+09:00,68,22.36,93,1006,5.72,158,0,0,22.2222,16.0934,0,73.4003,17.7815
1,2022-06-23 08:00:00+09:00,75,22.79,91,1006,6.92,171,0,0,21.6667,16.0934,1,80.7674,29.7827
1,2022-06-23 09:00:00+09:00,79,22.95,91,1006,7.2,185,0.15,0,21.6667,16.0934,1,88.5162,42.0395
1,2022-06-23 10:00:00+09:00,89,23.48,88,1005,8.12,185,0,0,20.5556,8.04672,1,97.8704,54.3308
1,2022-06-23 11:00:00+09:00,95,23.64,88,1005,8.72,186,0.19,0,21.1111,8.04672,2,112.047,66.2407
1,2022-06-23 12:00:00+09:00,96,24.06,85,1004,8.17,191,0,0,20.5556,16.0934,3,142.886,76.2115
1,2022-06-23 13:00:00+09:00,97,24.14,84,1004,10.15,200,0,0,19.4444,16.0934,2,206.272,77.5258
1,2022-06-23 14:00:00+09:00,97,23.7,86,1003,10.05,206,0,0,21.1111,16.0934,2,243.77,68.5166
1,2022-06-23 15:00:00+09:00,98,23.24,89,1003,9.46,202,0,0,20,16.0934,1,259.824,56.7931
1,2022-06-23 16:00:00+09:00,100,23.03,91,1003,8.89,201,0,0,20.5556,8.04672,1,269.774,44.5321
1,2022-06-23 17:00:00+09:00,100,22.73,92,1002,8.77,200,0.12,0,21.1111,8.04672,0,277.718,32.2477
1,2022-06-23 18:00:00+09:00,100,22.5,94,1002,9.14,196,0.19,0,21.1111,16.0934,0,285.098,20.1782
1,2022-06-23 19:00:00+09:00,100,22.38,95,1002,8.7,197,0.51,0,21.1111,16.0934,0,292.658,8.52497
1,2022-06-23 20:00:00+09:00,100,22.18,95,1003,7.91,200,0.44,0,20.5556,16.0934,0,300.947,-2.47131
1,2022-06-23 21:00:00+09:00,100,22.13,95,1002,8.07,195,0.57,0,20,9.65606,0,310.477,-12.4802
1,2022-06-23 22:00:00+09:00,100,22.24,95,1002,8.92,198,0.53,0,20,9.65606,0,321.742,-21.0342
1,2022-06-23 23:00:00+09:00,100,22.22,96,1002,8.37,211,1.33,0,20,9.65606,0,335.072,-27.5071
1,2022-06-24 00:00:00+09:00,100,22.07,96,1002,8.02,202,3.4,0,20,16.0934,0,350.293,-31.1909
1,2022-06-24 01:00:00+09:00,100,22.22,97,1000,10.46,223,4.17,0,21.1111,4.82803,0,6.41239,-31.5475
1,2022-06-24 02:00:00+09:00,100,22.13,98,1000,9.19,209,3.16,0,20.5556,4.82803,0,21.9269,-28.5184
1,2022-06-24 03:00:00+09:00,100,22.02,98,1000,6.73,208,0.33,0,20.5556,4.82803,0,35.6868,-22.5639
1,2022-06-24 04:00:00+09:00,100,21.99,98,999,7.07,213,0.34,0,20.5556,4.82803,0,47.3621,-14.3834
1,2022-06-24 05:00:00+09:00,100,21.99,98,1000,8.38,208,0.48,0,20.5556,4.82803,0,57.2123,-4.63125
1,2022-06-24 06:00:00+09:00,100,22,98,1000,8.04,226,0.49,0,20.5556,4.82803,0,65.7163,6.19217
1,2022-06-24 07:00:00+09:00,100,21.71,98,1001,7.15,238,0.94,0,20,4.82803,0,73.3861,17.7317
1,2022-06-24 08:00:00+09:00,100,21.62,99,1001,5.57,239,0.82,0,20,6.43738,1,80.7551,29.7322
1,2022-06-24 09:00:00+09:00,100,21.58,99,1001,4.68,224,0.31,0,20,6.43738,1,88.5039,41.9886
1,2022-06-24 10:00:00+09:00,100,21.65,99,1001,3.75,230,0,0,20,8.04672,1,97.8537,54.2799
1,2022-06-24 11:00:00+09:00,100,21.98,98,1002,4.9,220,0,0,20.5556,9.65606,2,112.009,66.1911
1,2022-06-24 12:00:00+09:00,100,22.14,97,1001,4.61,231,0,0,20.5556,9.65606,3,142.746,76.1717
1,2022-06-24 13:00:00+09:00,100,22.09,97,1002,5.97,224,0,0,21.1111,11.2654,2,206.033,77.531
1,2022-06-24 14:00:00+09:00,100,22.03,97,1002,6.59,224,0,0,21.1111,11.2654,2,243.654,68.5469
1,2022-06-24 15:00:00+09:00,100,21.93,97,1002,7.16,216,0.27,0,21.1111,16.0934,1,259.755,56.8291
1,2022-06-24 16:00:00+09:00,100,21.89,93,1003,7.01,221,0.18,0,21.6667,16.0934,1,269.722,44.5691
1,2022-06-24 17:00:00+09:00,100,21.8,89,1003,4.58,211,0,0,21.6667,16.0934,0,277.673,32.2839
1,2022-06-24 18:00:00+09:00,100,21.92,88,1002,4.12,189,0,0,22.2222,16.0934,0,285.055,20.2124
1,2022-06-24 19:00:00+09:00,96,21.93,89,1003,3.63,184,0,0,22.7778,16.0934,0,292.615,8.5561
1,2022-06-24 20:00:00+09:00,86,21.59,91,1003,2.54,206,0,0,22.7778,16.0934,0,300.901,-2.44461
1,2022-06-24 21:00:00+09:00,88,21.47,91,1003,3.8,201,0,0,22.2222,16.0934,0,310.427,-12.4596
1,2022-06-24 22:00:00+09:00,79,21.24,91,1004,3.94,193,0,0,22.2222,8.04672,0,321.687,-21.0219
1,2022-06-24 23:00:00+09:00,88,21.16,92,1004,4.61,172,0,0,21.6667,11.2654,0,335.013,-27.5056
1,2022-06-25 00:00:00+09:00,92,21.12,92,1004,4.86,165,0,0,21.1111,11.2654,0,350.232,-31.202
1,2022-06-25 01:00:00+09:00,81,21.59,99,1004,5.39,213,0,0,21.6667,8.04672,0,6.35688,-31.5715
1,2022-06-25 02:00:00+09:00,85,21.44,99,1003,4.4,211,0.27,0,21.6667,16.0934,0,21.8812,-28.5532
1,2022-06-25 03:00:00+09:00,88,21.16,99,1003,5.06,196,0.97,0,21.6667,16.0934,0,35.6523,-22.6066
1,2022-06-25 04:00:00+09:00,100,21.31,98,1003,3.29,201,0,0,20.5556,16.0934,0,47.3373,-14.431
1,2022-06-25 05:00:00+09:00,100,21.43,98,1003,4.7,170,0,0,21.1111,8.04672,0,57.195,-4.68178
1,2022-06-25 06:00:00+09:00,100,21.24,98,1004,3.47,180,0,0,21.6667,11.2654,0,65.7044,6.13999
1,2022-06-25 07:00:00+09:00,100,21.51,97,1004,2.87,151,0.1,0,21.6667,11.2654,1,73.3782,17.6786
1,2022-06-25 08:00:00+09:00,93,21.65,96,1005,3.53,161,0.95,0,21.6667,11.2654,1,80.75,29.6787
1,2022-06-25 09:00:00+09:00,92,21.92,95,1005,4.86,188,1.69,0,21.6667,11.2654,1,88.5001,41.9349
1,2022-06-25 10:00:00+09:00,86,22.29,94,1005,5.48,195,1.53,0,21.6667,6.43738,2,97.8476,54.2261
1,2022-06-25 11:00:00+09:00,73,22.94,91,1005,5.44,195,0.26,0,21.6667,16.0934,3,111.986,66.1379
1,2022-06-25 12:00:00+09:00,56,23.36,89,1005,6.2,210,0,0,22.2222,16.0934,3,142.624,76.1263
1,2022-06-25 13:00:00+09:00,61,23.26,87,1006,6.36,207,0.11,0,21.6667,16.0934,3,205.782,77.5295
1,2022-06-25 14:00:00+09:00,69,23.38,87,1006,6.63,204,0,0,22.2222,16.0934,2,243.524,68.5728
1,2022-06-25 15:00:00+09:00,74,23.31,87,1006,6.18,215,0.15,0,22.2222,16.0934,1,259.675,56.8615
1,2022-06-25 16:00:00+09:00,53,23.13,87,1006,5.53,206,0.34,0,22.2222,16.0934,1,269.662,44.6028
1,2022-06-25 17:00:00+09:00,75,23.03,87,1006,5.88,195,0.21,0,22.2222,11.2654,2,277.621,32.3166
1,2022-06-25 18:00:00+09:00,56,22.79,89,1006,6.07,189,0,0,22.2222,11.2654,1,285.007,20.2429
1,2022-06-25 19:00:00+09:00,45,22.52,90,1007,6.47,185,0,0,22.2222,11.2654,0,292.567,8.58309
1,2022-06-25 20:00:00+09:00,37,22.3,91,1007,5.42,183,0,0,22.2222,11.2654,0,300.851,-2.42255
1,2022-06-25 21:00:00+09:00,31,22.16,92,1007,5.73,173,0,0,22.2222,11.2654,0,310.373,-12.4443
1,2022-06-25 22:00:00+09:00,16,21.98,94,1008,5.13,163,0,0,22.2222,11.2654,0,321.628,-21.0155
1,2022-06-25 23:00:00+09:00,47,22.02,94,1008,5.69,156,0,0,22.7778,11.2654,0,334.951,-27.5105
1,2022-06-26 00:00:00+09:00,64,22.3,92,1007,5.1,168,0,0,22.2222,9.65606,0,350.171,-31.2199
1,2022-06-26 01:00:00+09:00,11,22.15,93,1008,5.66,182,0,0,21.1111,9.65606,0,6.30253,-31.6022
1,2022-06-26 02:00:00+09:00,29,21.9,94,1008,5.69,173,0,0,21.1111,11.2654,0,21.8385,-28.5944
1,2022-06-26 03:00:00+09:00,40,22.06,92,1008,6.06,172,0,0,21.1111,11.2654,0,35.622,-22.6548
1,2022-06-26 04:00:00+09:00,77,22.05,93,1008,7.16,173,0,0,21.1111,9.65606,0,47.3174,-14.4835
1,2022-06-26 05:00:00+09:00,87,22,93,1008,6.82,168,0,0,21.1111,8.04672,0,57.183,-4.73655
1,2022-06-26 06:00:00+09:00,91,22.1,93,1009,6.64,161,0,0,21.1111,8.04672,0,65.6984,6.08414
1,2022-06-26 07:00:00+09:00,93,22.55,92,1010,7.3,164,0,0,21.1111,8.04672,0,73.3767,17.6224
1,2022-06-26 08:00:00+09:00,95,22.95,90,1010,7.63,171,0,0,21.6667,8.04672,1,80.7521,29.6223
1,2022-06-26 09:00:00+09:00,96,23.53,87,1011,7.99,176,0,0,21.6667,9.65606,1,88.5047,41.8784
1,2022-06-26 10:00:00+09:00,100,24,84,1011,8.7,183,0,0,21.6667,9.65606,2,97.8522,54.1695
1,2022-06-26 11:00:00+09:00,100,24.26,83,1011,8.67,185,0,0,21.1111,9.65606,2,111.978,66.0811
1,2022-06-26 12:00:00+09:00,100,24.15,84,1011,8.83,189,0.17,0,20.5556,9.65606,3,142.519,76.0752
1,2022-06-26 13:00:00+09:00,100,24.41,84,1011,9.35,191,0.12,0,20.5556,9.65606,2,205.52,77.5213
1,2022-06-26 14:00:00+09:00,100,24.46,84,1010,9.53,190,0.3,0,20.5556,9.65606,2,243.378,68.5941
1,2022-06-26 15:00:00+09:00,100,24.56,84,1010,9.59,190,0,0,20.5556,9.65606,1,259.584,56.8903
1,2022-06-26 16:00:00+09:00,100,24.3,84,1010,9.19,190,0,0,21.1111,9.65606,1,269.593,44.633
1,2022-06-26 17:00:00+09:00,100,24.06,86,1010,8.19,188,0,0,21.6667,9.65606,0,277.562,32.3458
1,2022-06-26 18:00:00+09:00,100,24.08,86,1010,7.91,185,0,0,22.2222,9.65606,0,284.952,20.2695
1,2022-06-26 19:00:00+09:00,97,23.73,87,1010,7.1,178,0,0,23.8889,9.65606,0,292.513,8.60587
1,2022-06-26 20:00:00+09:00,97,23.35,87,1010,6.56,172,0,0,23.8889,11.2654,0,300.796,-2.40519
1,2022-06-26 21:00:00+09:00,98,23.21,88,1010,5.54,162,0,0,23.3333,11.2654,0,310.314,-12.4342
1,2022-06-26 22:00:00+09:00,100,22.87,89,1011,5.06,139,0,0,22.7778,11.2654,0,321.565,-21.0151
1,2022-06-26 23:00:00+09:00,100,22.62,91,1011,4.32,130,0,0,22.2222,9.65606,0,334.886,-27.5219
1,2022-06-27 00:00:00+09:00,100,22.39,93,1011,3.83,141,0,0,21.6667,9.65606,0,350.109,-31.2447
1,2022-06-27 01:00:00+09:00,100,22.55,94,1010,5.39,141,0,0,21.1111,8.04672,0,6.24944,-31.6397
1,2022-06-27 02:00:00+09:00,100,22.68,93,1010,5.72,150,0,0,21.1111,8.04672,0,21.7988,-28.6418
1,2022-06-27 03:00:00+09:00,100,22.48,94,1010,5.13,146,0.11,0,21.1111,8.04672,0,35.5959,-22.7087
1,2022-06-27 04:00:00+09:00,100,22.78,92,1009,5.88,153,0,0,21.1111,6.43738,0,47.3025,-14.5408
1,2022-06-27 05:00:00+09:00,100,22.82,92,1009,5.81,154,0,0,21.1111,6.43738,0,57.1766,-4.79548
1,2022-06-27 06:00:00+09:00,100,22.74,92,1010,6.05,151,0,0,20.5556,6.43738,0,65.6983,6.02471
1,2022-06-27 07:00:00+09:00,100,23.04,92,1010,7.19,160,0.51,0,21.1111,6.43738,0,73.3816,17.563
1,2022-06-27 08:00:00+09:00,100,23.61,89,1010,8.71,162,0,0,21.1111,6.43738,1,80.7613,29.5631
1,2022-06-27 09:00:00+09:00,100,23.84,89,1010,8.41,171,0.18,0,21.6667,8.04672,1,88.5178,41.8194
1,2022-06-27 10:00:00+09:00,100,24.34,86,1009,9.27,173,0.26,0,21.6667,8.04672,2,97.8675,54.1101
1,2022-06-27 11:00:00+09:00,100,24.4,85,1009,9.72,175,0.36,0,22.2222,9.65606,2,111.984,66.021
1,2022-06-27 12:00:00+09:00,100,24.44,84,1009,9.61,177,1.46,0,22.2222,9.65606,3,142.432,76.0186
1,2022-06-27 13:00:00+09:00,100,24.47,84,1008,10.61,171,1.09,0,22.2222,9.65606,2,205.249,77.5064
1,2022-06-27 14:00:00+09:00,100,24.52,84,1008,9.92,177,0.19,0,23.3333,9.65606,2,243.219,68.6108
1,2022-06-27 15:00:00+09:00,100,24.37,85,1007,10.15,177,0.32,0,22.7778,11.2654,2,259.483,56.9153
1,2022-06-27 16:00:00+09:00,100,24.3,85,1007,10.39,178,0,0,22.7778,9.65606,1,269.516,44.6596
1,2022-06-27 17:00:00+09:00,100,24.18,85,1007,10.62,181,0,0,22.2222,9.65606,0,277.497,32.3714
1,2022-06-27 18:00:00+09:00,100,24.14,86,1007,10.52,175,0,0,22.2222,9.65606,0,284.892,20.2923
1,2022-06-27 19:00:00+09:00,100,23.99,87,1007,10.69,177,0,0,22.2222,8.04672,0,292.454,8.62438
1,2022-06-27 20:00:00+09:00,100,24.13,86,1007,11.09,176,0,0,21.6667,8.04672,0,300.735,-2.3926
1,2022-06-27 21:00:00+09:00,100,24,87,1007,10.79,173,0,0,21.6667,8.04672,0,310.251,-12.4295
1,2022-06-27 22:00:00+09:00,100,23.78,89,1007,11,172,0,0,21.6667,8.04672,0,321.499,-21.0205
1,2022-06-27 23:00:00+09:00,100,23.99,88,1007,11.76,174,0,0,21.1111,6.43738,0,334.819,-27.5398
1,2022-06-28 00:00:00+09:00,100,23.7,90,1007,11.27,176,0,0,21.1111,6.43738,0,350.046,-31.2762
1,2022-06-28 01:00:00+09:00,100,24.12,87,1006,10.75,171,0,0,20.5556,8.04672,0,6.19773,-31.6839
1,2022-06-28 02:00:00+09:00,100,24.02,87,1006,10.81,171,0,0,20.5556,8.04672,0,21.7623,-28.6955
1,2022-06-28 03:00:00+09:00,100,23.98,88,1005,11.43,172,0,0,20.5556,9.65606,0,35.5741,-22.7681
1,2022-06-28 04:00:00+09:00,100,23.86,89,1005,11.06,173,0,0,20.5556,9.65606,0,47.2927,-14.6029
1,2022-06-28 05:00:00+09:00,100,23.68,90,1005,11.31,177,0,0,20,9.65606,0,57.1756,-4.85849
1,2022-06-28 06:00:00+09:00,100,23.67,90,1006,10.97,178,0,0,20.5556,9.65606,0,65.7041,5.96179
1,2022-06-28 07:00:00+09:00,100,23.65,90,1005,11.14,177,0,0,20.5556,9.65606,0,73.393,17.5005
1,2022-06-28 08:00:00+09:00,100,23.79,90,1006,10.84,180,0,0,21.1111,9.65606,1,80.7778,29.5012
